"id_muni2015","name_muni2015_en","name_muni2015_jp","totalpop1980","totalpop1985","totalpop1990","totalpop1995","totalpop2000","totalpop2005","totalpop2010","totalpop2015","totalpop2020"
"46491","Minamiosumi-cho, Kimotsuki-gun, Kagoshima","鹿児島県 肝属郡 南大隅町","14344","13469","12526","11623","10741","9897","8815","7542","6481"
"46492","Kimotsuki-cho, Kimotsuki-gun, Kagoshima","鹿児島県 肝属郡 肝付町","23361","22955","21542","20317","19523","18307","17160","15664","14227"
"46501","Nakatane-cho, Kumage-gun, Kagoshima","鹿児島県 熊毛郡 中種子町","12297","11339","10552","10027","9675","9194","8696","8135","7539"
"46502","Minamitane-cho, Kumage-gun, Kagoshima","鹿児島県 熊毛郡 南種子町","8320","7976","7672","7422","7154","6751","6218","5745","5445"
"46505","Yakushima-cho, Kumage-gun, Kagoshima","鹿児島県 熊毛郡 屋久島町","15624","15074","13860","13593","13875","13761","13589","12913","11858"
"46523","Yamato-son, Oshima-gun, Kagoshima","鹿児島県 大島郡 大和村","2509","2419","2251","2092","2104","2013","1765","1530","1364"
"46524","Uken-son, Oshima-gun, Kagoshima","鹿児島県 大島郡 宇検村","2594","2473","2492","2424","2243","2048","1932","1722","1621"
"46525","Setouchi-cho, Oshima-gun, Kagoshima","鹿児島県 大島郡 瀬戸内町","14309","13269","12566","12017","11649","10782","9874","9042","8546"
"46527","Tatsugo-cho, Oshima-gun, Kagoshima","鹿児島県 大島郡 龍郷町","6136","6183","5967","5889","6002","6002","6078","5806","5817"
"46529","Kikai-cho, Oshima-gun, Kagoshima","鹿児島県 大島郡 喜界町","11169","10591","9641","9268","9041","8572","8169","7212","6629"
"46530","Tokunoshima-cho, Oshima-gun, Kagoshima","鹿児島県 大島郡 徳之島町","15553","15321","14536","13640","13127","12892","12090","11160","10147"
"46531","Amagi-cho, Oshima-gun, Kagoshima","鹿児島県 大島郡 天城町","8775","8485","7874","7365","7212","7020","6653","5975","5517"
"46532","Isen-cho, Oshima-gun, Kagoshima","鹿児島県 大島郡 伊仙町","10318","9826","8821","8151","7769","7255","6844","6362","6139"
"46533","Wadomari-cho, Oshima-gun, Kagoshima","鹿児島県 大島郡 和泊町","8932","8653","8188","7869","7736","7436","7114","6783","6246"
"46534","China-cho, Oshima-gun, Kagoshima","鹿児島県 大島郡 知名町","8407","8165","7768","7456","7435","7115","6806","6213","5750"
"46535","Yoron-cho, Oshima-gun, Kagoshima","鹿児島県 大島郡 与論町","7320","7222","6704","6210","6099","5731","5327","5186","5115"
"47201","Naha-shi, Okinawa","沖縄県 那覇市","295778","303674","304836","301890","301032","312393","315954","319435","317625"
